Strategy,pe_offset,ce_offset,stoploss_pct,profit_target_pct,index_movement,entry_time,exit_time,lot_size,total_pnl,trades,win_rate,max_drawdown
1,1,0,100,75,250,09:20:00,15:20:00,1,135415,301,66.77740864,22867.5
2,0,0,80,75,250,09:20:00,15:20:00,1,134362.5,301,65.44850498,26687.5
3,0,0,80,70,250,09:20:00,15:20:00,1,132327.5,301,65.44850498,26932.5
4,0,0,80,65,250,09:20:00,15:20:00,1,131375,301,65.7807309,22145
5,0,0,75,75,250,09:20:00,15:20:00,1,130347.5,301,65.44850498,23605
6,1,1,100,70,250,09:20:00,15:20:00,1,129565,301,67.10963455,20262.5
7,0,0,85,75,250,09:20:00,15:20:00,1,129085,301,65.44850498,27537.5
8,1,0,100,70,250,09:20:00,15:20:00,1,129012.5,301,66.77740864,23137.5
9,1,1,100,75,250,09:20:00,15:20:00,1,128585,301,66.77740864,19997.5
10,0,0,95,75,250,09:20:00,15:20:00,1,128360,301,65.44850498,27537.5
11,0,0,75,70,250,09:20:00,15:20:00,1,128312.5,301,65.44850498,23850
12,0,0,80,50,250,09:20:00,15:20:00,1,128072.5,301,67.10963455,23270
13,1,0,90,75,250,09:20:00,15:20:00,1,127920,301,66.44518272,22185
14,0,0,90,75,250,09:20:00,15:20:00,1,127535,301,65.44850498,27537.5
15,0,0,100,75,250,09:20:00,15:20:00,1,127480,301,65.44850498,27537.5
16,0,0,75,65,250,09:20:00,15:20:00,1,127360,301,65.7807309,19062.5
17,0,0,85,70,250,09:20:00,15:20:00,1,127050,301,65.44850498,27782.5
18,1,0,100,65,250,09:20:00,15:20:00,1,127040,301,67.10963455,23432.5
19,0,0,80,60,250,09:20:00,15:20:00,1,126910,301,65.7807309,22467.5
20,0,0,95,70,250,09:20:00,15:20:00,1,126325,301,65.44850498,27782.5
